,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
167,2014,Holt-Winters' additive method,2014,01-11-2014,1584.612492,1588.96812,0.997251298
168,2014,Holt-Winters' additive method,2014,01-12-2014,1810.307154,1885.427549,0.958504061
169,2014,Holt-Winters' additive method,2015,01-01-2015,1662.501069,1507.399165,0.906705681
170,2014,Holt-Winters' additive method,2015,01-02-2015,1055.452127,1275.491401,0.791521313
171,2014,Holt-Winters' additive method,2015,01-03-2015,1572.300884,1424.184503,0.905796414
172,2014,Holt-Winters' additive method,2015,01-04-2015,1261.277434,1378.476489,0.907079084
173,2014,Holt-Winters' additive method,2015,01-05-2015,1093.949577,1276.924495,0.832739166
174,2014,Holt-Winters' additive method,2015,01-06-2015,1288.687455,1282.298112,0.995041976
175,2014,Holt-Winters' additive method,2015,01-07-2015,1421.229635,1237.654359,0.870833487
176,2014,Holt-Winters' additive method,2015,01-08-2015,1318.693795,1241.943084,0.941797928
177,2014,Holt-Winters' additive method,2015,01-09-2015,1331.707548,1329.563089,0.998389692
178,2014,Holt-Winters' additive method,2015,01-10-2015,1485.756646,1448.375038,0.97484002
179,2014,Holt-Winters' additive method,2015,01-11-2015,1571.134384,1585.573392,0.99080982
180,2014,Holt-Winters' additive method,2015,01-12-2015,1965.386745,1881.320283,0.957226504
181,2014,Holt-Winters' additive method,2016,01-01-2016,1468.391614,1504.048989,0.975716713
182,2014,Holt-Winters' additive method,2016,01-02-2016,1202.601797,1272.141225,0.942175849
183,2014,Holt-Winters' additive method,2016,01-03-2016,1493.370473,1420.834327,0.951427896
184,2014,Holt-Winters' additive method,2016,01-04-2016,1276.321496,1375.126313,0.922586263
185,2014,Holt-Winters' additive method,2016,01-05-2016,1217.321543,1273.57432,0.953789714
186,2014,Holt-Winters' additive method,2016,01-06-2016,1182.128779,1278.947936,0.918097623
187,2014,Holt-Winters' additive method,2016,01-07-2016,1395.204644,1234.304183,0.884676086
188,2014,Holt-Winters' additive method,2016,01-08-2016,1231.507862,1238.592908,0.994246853
189,2014,Holt-Winters' additive method,2016,01-09-2016,1377.947097,1326.212914,0.96245561
190,2014,Holt-Winters' additive method,2016,01-10-2016,1439.062829,1445.024863,0.995857003
191,2014,Holt-Winters' additive method,2016,01-11-2016,1594.208192,1582.223217,0.992482177
192,2014,Holt-Winters' additive method,2016,01-12-2016,1935.742292,1877.970107,0.970155023
193,2013,Holt-Winters' additive method,2009,01-01-2009,1611.309904,1657.034319,0.97162283
194,2013,Holt-Winters' additive method,2009,01-02-2009,1343.166985,1410.2147,0.950082368
195,2013,Holt-Winters' additive method,2009,01-03-2009,1563.248524,1590.145184,0.98279438
196,2013,Holt-Winters' additive method,2009,01-04-2009,1542.646804,1479.090706,0.958800616
197,2013,Holt-Winters' additive method,2009,01-05-2009,1393.522857,1411.154198,0.987347648
198,2013,Holt-Winters' additive method,2009,01-06-2009,1505.522483,1401.148666,0.930672694
199,2013,Holt-Winters' additive method,2009,01-07-2009,1192.494217,1340.851024,0.875591172
200,2013,Holt-Winters' additive method,2009,01-08-2009,1333.554577,1371.843086,0.971288382
201,2013,Holt-Winters' additive method,2009,01-09-2009,1511.87638,1447.528676,0.957438515
202,2013,Holt-Winters' additive method,2009,01-10-2009,1552.030974,1537.106166,0.990383692
203,2013,Holt-Winters' additive method,2009,01-11-2009,1770.121471,1695.722547,0.957969594
204,2013,Holt-Winters' additive method,2009,01-12-2009,2142.850474,1980.84551,0.924397448
205,2013,Holt-Winters' additive method,2010,01-01-2010,1578.423817,1611.461026,0.979069494
206,2013,Holt-Winters' additive method,2010,01-02-2010,1282.251782,1366.296909,0.934455052
207,2013,Holt-Winters' additive method,2010,01-03-2010,1565.996896,1547.420634,0.98813774
