,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
100,2014,ETS MODEL-AAA,2009,01-04-2009,1542.646804,1510.475387,0.979145313
101,2014,ETS MODEL-AAA,2009,01-05-2009,1393.522857,1404.699772,0.991979382
102,2014,ETS MODEL-AAA,2009,01-06-2009,1505.522483,1405.286575,0.933421182
103,2014,ETS MODEL-AAA,2009,01-07-2009,1192.494217,1357.872447,0.861317374
104,2014,ETS MODEL-AAA,2009,01-08-2009,1333.554577,1355.334868,0.983667492
105,2014,ETS MODEL-AAA,2009,01-09-2009,1511.87638,1437.29629,0.95067051
106,2014,ETS MODEL-AAA,2009,01-10-2009,1552.030974,1552.042371,0.999992656
107,2014,ETS MODEL-AAA,2009,01-11-2009,1770.121471,1684.454726,0.951604031
108,2014,ETS MODEL-AAA,2009,01-12-2009,2142.850474,1977.096087,0.922647712
109,2014,ETS MODEL-AAA,2010,01-01-2010,1578.423817,1598.890862,0.987033238
110,2014,ETS MODEL-AAA,2010,01-02-2010,1282.251782,1364.238065,0.936060699
111,2014,ETS MODEL-AAA,2010,01-03-2010,1565.996896,1508.793262,0.963471426
112,2014,ETS MODEL-AAA,2010,01-04-2010,1406.814602,1460.793563,0.961630366
113,2014,ETS MODEL-AAA,2010,01-05-2010,1371.829516,1355.39091,0.988017019
114,2014,ETS MODEL-AAA,2010,01-06-2010,1466.819963,1357.783798,0.92566493
115,2014,ETS MODEL-AAA,2010,01-07-2010,1230.075862,1311.84237,0.933527264
116,2014,ETS MODEL-AAA,2010,01-08-2010,1316.638416,1312.532196,0.996881285
117,2014,ETS MODEL-AAA,2010,01-09-2010,1461.90817,1397.390166,0.955867266
118,2014,ETS MODEL-AAA,2010,01-10-2010,1415.710175,1514.490064,0.93022591
119,2014,ETS MODEL-AAA,2010,01-11-2010,1565.999475,1647.58783,0.947900139
120,2014,ETS MODEL-AAA,2010,01-12-2010,1872.276643,1938.685889,0.964530217
121,2014,ETS MODEL-AAA,2011,01-01-2011,1700.400237,1555.964861,0.915058013
122,2014,ETS MODEL-AAA,2011,01-02-2011,1277.937634,1322.181692,0.965378547
123,2014,ETS MODEL-AAA,2011,01-03-2011,1484.16489,1466.888695,0.988359653
124,2014,ETS MODEL-AAA,2011,01-04-2011,1577.484479,1417.771897,0.898754895
125,2014,ETS MODEL-AAA,2011,01-05-2011,1256.881635,1315.77911,0.953139998
126,2014,ETS MODEL-AAA,2011,01-06-2011,1365.863201,1318.155072,0.965071078
127,2014,ETS MODEL-AAA,2011,01-07-2011,1194.73614,1271.570871,0.935688954
128,2014,ETS MODEL-AAA,2011,01-08-2011,1408.328134,1272.465476,0.903529117
129,2014,ETS MODEL-AAA,2011,01-09-2011,1329.566484,1359.95331,0.977145313
130,2014,ETS MODEL-AAA,2011,01-10-2011,1471.344872,1476.504998,0.996492918
131,2014,ETS MODEL-AAA,2011,01-11-2011,1591.192481,1611.832929,0.987028315
132,2014,ETS MODEL-AAA,2011,01-12-2011,1946.487392,1905.42642,0.978905092
133,2014,ETS MODEL-AAA,2012,01-01-2012,1579.553659,1526.778266,0.966588414
134,2014,ETS MODEL-AAA,2012,01-02-2012,1271.618161,1294.069236,0.982344484
135,2014,ETS MODEL-AAA,2012,01-03-2012,1454.67904,1441.286029,0.99079315
136,2014,ETS MODEL-AAA,2012,01-04-2012,1383.085355,1394.451092,0.991782332
137,2014,ETS MODEL-AAA,2012,01-05-2012,1256.578116,1291.317995,0.972353586
138,2014,ETS MODEL-AAA,2012,01-06-2012,1250.914708,1294.831565,0.964892205
139,2014,ETS MODEL-AAA,2012,01-07-2012,1424.697673,1247.28041,0.875470238
140,2014,ETS MODEL-AAA,2012,01-08-2012,1209.697283,1253.087716,0.964131164
141,2014,ETS MODEL-AAA,2012,01-09-2012,1290.272206,1339.462252,0.961876226
142,2014,ETS MODEL-AAA,2012,01-10-2012,1461.46163,1456.35992,0.996509173
143,2014,ETS MODEL-AAA,2012,01-11-2012,1659.064149,1592.379419,0.959805816
144,2014,ETS MODEL-AAA,2012,01-12-2012,1762.816821,1888.26527,0.928836367
145,2014,ETS MODEL-AAA,2013,01-01-2013,1515.563794,1507.909038,0.994949236
146,2014,ETS MODEL-AAA,2013,01-02-2013,1442.783329,1274.157646,0.883124736
147,2014,ETS MODEL-AAA,2013,01-03-2013,1494.53245,1424.436432,0.953098363
148,2014,ETS MODEL-AAA,2013,01-04-2013,1198.571522,1379.891006,0.848720347
149,2014,ETS MODEL-AAA,2013,01-05-2013,1415.179078,1275.303708,0.901160657
150,2014,ETS MODEL-AAA,2013,01-06-2013,1170.703381,1282.274349,0.904697492
151,2014,ETS MODEL-AAA,2013,01-07-2013,1399.530637,1235.39951,0.882724163
152,2014,ETS MODEL-AAA,2013,01-08-2013,1199.030512,1241.991332,0.96417037
153,2014,ETS MODEL-AAA,2013,01-09-2013,1285.699875,1329.420119,0.965994985
154,2014,ETS MODEL-AAA,2013,01-10-2013,1574.435691,1447.509306,0.919382935
155,2014,ETS MODEL-AAA,2013,01-11-2013,1576.22275,1586.973536,0.993179399
156,2014,ETS MODEL-AAA,2013,01-12-2013,1897.742974,1883.530703,0.992510961
157,2014,ETS MODEL-AAA,2014,01-01-2014,1431.416965,1507.420138,0.94690354
158,2014,ETS MODEL-AAA,2014,01-02-2014,1295.234895,1275.033327,0.984403163
159,2014,ETS MODEL-AAA,2014,01-03-2014,1298.673707,1424.500056,0.903111653
160,2014,ETS MODEL-AAA,2014,01-04-2014,1500.886595,1376.748323,0.917290039
161,2014,ETS MODEL-AAA,2014,01-05-2014,1255.636159,1276.935358,0.983037125
162,2014,ETS MODEL-AAA,2014,01-06-2014,1248.203353,1282.389401,0.972611796
163,2014,ETS MODEL-AAA,2014,01-07-2014,1295.34551,1237.315213,0.955200912
164,2014,ETS MODEL-AAA,2014,01-08-2014,1273.485672,1242.667725,0.975800319
165,2014,ETS MODEL-AAA,2014,01-09-2014,1338.542127,1331.383055,0.99465159
166,2014,ETS MODEL-AAA,2014,01-10-2014,1439.808765,1451.131143,0.992136193
167,2014,ETS MODEL-AAA,2014,01-11-2014,1584.612492,1588.96812,0.997251298
168,2014,ETS MODEL-AAA,2014,01-12-2014,1810.307154,1885.427549,0.958504061
169,2014,ETS MODEL-AAA,2015,01-01-2015,1662.501069,1507.399165,0.906705681
170,2014,ETS MODEL-AAA,2015,01-02-2015,1055.452127,1275.491401,0.791521313
171,2014,ETS MODEL-AAA,2015,01-03-2015,1572.300884,1424.184503,0.905796414
172,2014,ETS MODEL-AAA,2015,01-04-2015,1261.277434,1378.476489,0.907079084
173,2014,ETS MODEL-AAA,2015,01-05-2015,1093.949577,1276.924495,0.832739166
174,2014,ETS MODEL-AAA,2015,01-06-2015,1288.687455,1282.298112,0.995041976
175,2014,ETS MODEL-AAA,2015,01-07-2015,1421.229635,1237.654359,0.870833487
176,2014,ETS MODEL-AAA,2015,01-08-2015,1318.693795,1241.943084,0.941797928
177,2014,ETS MODEL-AAA,2015,01-09-2015,1331.707548,1329.563089,0.998389692
178,2014,ETS MODEL-AAA,2015,01-10-2015,1485.756646,1448.375038,0.97484002
179,2014,ETS MODEL-AAA,2015,01-11-2015,1571.134384,1585.573392,0.99080982
180,2014,ETS MODEL-AAA,2015,01-12-2015,1965.386745,1881.320283,0.957226504
181,2014,ETS MODEL-AAA,2016,01-01-2016,1468.391614,1504.048989,0.975716713
182,2014,ETS MODEL-AAA,2016,01-02-2016,1202.601797,1272.141225,0.942175849
183,2014,ETS MODEL-AAA,2016,01-03-2016,1493.370473,1420.834327,0.951427896
184,2014,ETS MODEL-AAA,2016,01-04-2016,1276.321496,1375.126313,0.922586263
185,2014,ETS MODEL-AAA,2016,01-05-2016,1217.321543,1273.57432,0.953789714
186,2014,ETS MODEL-AAA,2016,01-06-2016,1182.128779,1278.947936,0.918097623
187,2014,ETS MODEL-AAA,2016,01-07-2016,1395.204644,1234.304183,0.884676086
188,2014,ETS MODEL-AAA,2016,01-08-2016,1231.507862,1238.592908,0.994246853
189,2014,ETS MODEL-AAA,2016,01-09-2016,1377.947097,1326.212914,0.96245561
190,2014,ETS MODEL-AAA,2016,01-10-2016,1439.062829,1445.024863,0.995857003
191,2014,ETS MODEL-AAA,2016,01-11-2016,1594.208192,1582.223217,0.992482177
192,2014,ETS MODEL-AAA,2016,01-12-2016,1935.742292,1877.970107,0.970155023
193,2013,ETS MODEL-AAA,2009,01-01-2009,1611.309904,1657.087756,0.971589666
194,2013,ETS MODEL-AAA,2009,01-02-2009,1343.166985,1410.223281,0.950075979
195,2013,ETS MODEL-AAA,2009,01-03-2009,1563.248524,1590.073231,0.982840408
196,2013,ETS MODEL-AAA,2009,01-04-2009,1542.646804,1478.963492,0.958718151
197,2013,ETS MODEL-AAA,2009,01-05-2009,1393.522857,1411.115627,0.987375327
198,2013,ETS MODEL-AAA,2009,01-06-2009,1505.522483,1401.014772,0.930583759
199,2013,ETS MODEL-AAA,2009,01-07-2009,1192.494217,1340.777605,0.87565274
200,2013,ETS MODEL-AAA,2009,01-08-2009,1333.554577,1371.678285,0.971411963
201,2013,ETS MODEL-AAA,2009,01-09-2009,1511.87638,1447.28688,0.957278584
202,2013,ETS MODEL-AAA,2009,01-10-2009,1552.030974,1536.835118,0.990209051
203,2013,ETS MODEL-AAA,2009,01-11-2009,1770.121471,1695.404312,0.957789813
204,2013,ETS MODEL-AAA,2009,01-12-2009,2142.850474,1980.672558,0.924316737
205,2013,ETS MODEL-AAA,2010,01-01-2010,1578.423817,1611.47807,0.979058696
206,2013,ETS MODEL-AAA,2010,01-02-2010,1282.251782,1366.365987,0.934401179
207,2013,ETS MODEL-AAA,2010,01-03-2010,1565.996896,1547.481384,0.988176534
208,2013,ETS MODEL-AAA,2010,01-04-2010,1406.814602,1438.776351,0.977280767
209,2013,ETS MODEL-AAA,2010,01-05-2010,1371.829516,1370.824841,0.999267639
210,2013,ETS MODEL-AAA,2010,01-06-2010,1466.819963,1362.039197,0.928566035
211,2013,ETS MODEL-AAA,2010,01-07-2010,1230.075862,1302.889655,0.940805446
212,2013,ETS MODEL-AAA,2010,01-08-2010,1316.638416,1336.500461,0.984914579
213,2013,ETS MODEL-AAA,2010,01-09-2010,1461.90817,1414.408426,0.967508394
214,2013,ETS MODEL-AAA,2010,01-10-2010,1415.710175,1505.688719,0.936442821
215,2013,ETS MODEL-AAA,2010,01-11-2010,1565.999475,1663.966328,0.937441324
216,2013,ETS MODEL-AAA,2010,01-12-2010,1872.276643,1946.417132,0.96040089
217,2013,ETS MODEL-AAA,2011,01-01-2011,1700.400237,1571.219113,0.92402899
218,2013,ETS MODEL-AAA,2011,01-02-2011,1277.937634,1326.021697,0.962373701
