"","alpha","beta","gamma","OutSample_Error","InSample_Error","Mean_MAPE"
"24",0.05,0.25,0.25,0.0416959383950442,0.050269706492496,0.0478200584646526
"25",0.05,0.25,0.35,0.0411679812779539,0.0502208624514307,0.0476343249732945
"26",0.05,0.25,0.45,0.0406399580397388,0.0501720278655788,0.0474485793439102
"27",0.05,0.25,0.55,0.0401118684928022,0.0501232027676777,0.0472628215462847
"28",0.05,0.25,0.65,0.0395837124487999,0.0500743871906163,0.0470770515500973
"29",0.05,0.25,0.75,0.039055489718636,0.0500255811674354,0.0468912693249213
"30",0.05,0.25,0.85,0.0385272001124591,0.0499767847313294,0.0467054748402236
"31",0.05,0.25,0.95,0.0384650355298865,0.0499279979156462,0.0466528658054291
"32",0.05,0.35,0.05,0.0421206727738836,0.049632519129252,0.0474862773134324
"33",0.05,0.35,0.15,0.0396949506839351,0.049587101127654,0.0467607724294486
"34",0.05,0.35,0.25,0.0392704964499492,0.0495416939485151,0.046607066091782
"35",0.05,0.35,0.35,0.0388460444841243,0.0494962976291606,0.0464533681591502
"36",0.05,0.35,0.45,0.0384215948202577,0.0494509122070877,0.0462996786679934
"37",0.05,0.35,0.55,0.037997147492375,0.0494055377199661,0.0461459976549401
"38",0.05,0.35,0.65,0.0375727025347315,0.0493601742056398,0.0459923251568089
"39",0.05,0.35,0.75,0.0371482599818145,0.0493148217021273,0.0458386612106094
"40",0.05,0.35,0.85,0.0367238198683441,0.0492694802476231,0.0456850058535434
"41",0.05,0.35,0.95,0.038316697448822,0.0492241498804985,0.0461077349000195
"42",0.05,0.45,0.05,0.0418552052673173,0.0489958174181051,0.04695564251788
"43",0.05,0.45,0.15,0.0379963092506759,0.048953766169698,0.0458230641928345
"44",0.05,0.45,0.25,0.0375401176160028,0.0489117272484397,0.0456626959248863
"45",0.05,0.45,0.35,0.0372140347513265,0.0488697006967807,0.0455395104266509
"46",0.05,0.45,0.45,0.0368880428110486,0.0488276865573669,0.0454163597727045
"47",0.05,0.45,0.55,0.0365621421133191,0.0487856848730404,0.0452932440845486
"48",0.05,0.45,0.65,0.0362363329777636,0.0487436956868409,0.0451701634842474
"49",0.05,0.45,0.75,0.0359106157254926,0.0487017190420064,0.045047118094431
"50",0.05,0.45,0.85,0.0355849906791107,0.0486597549819747,0.0449241080382993
"51",0.05,0.45,0.95,0.0383183870682252,0.0486178035503846,0.0456751131269105
"52",0.05,0.55,0.05,0.0416759758721271,0.0484488765263228,0.0465137620536954
"53",0.05,0.55,0.15,0.0378372313510349,0.0484101229167694,0.045389296755131
"54",0.05,0.55,0.25,0.0364021436078204,0.0483713832104351,0.0449516004668309
"55",0.05,0.55,0.35,0.0361698334474258,0.0483326574551295,0.0448575648814998
"56",0.05,0.55,0.45,0.0359377206563083,0.0482939456988817,0.0447635956867179
"57",0.05,0.55,0.55,0.0357058058910113,0.0482552479899417,0.044669693104533
"58",0.05,0.55,0.65,0.0354740898110319,0.0482165643767816,0.0445758573579959
"59",0.05,0.55,0.75,0.0352425730788366,0.0481778949080964,0.0444820886711651
"60",0.05,0.55,0.85,0.0350112563598807,0.0481392396328063,0.0443883872691133
"61",0.05,0.55,0.95,0.0384444273828205,0.048100598600057,0.0453416925379894
"62",0.05,0.65,0.05,0.0415688009297431,0.0479838063007611,0.0461509476233274
"63",0.05,0.65,0.15,0.0377444331266177,0.0479482893631346,0.0450329018669869
"64",0.05,0.65,0.25,0.03576336650304,0.0479127879751444,0.0444415246974003
"65",0.05,0.65,0.35,0.0356206685474178,0.0478773021901887,0.0443754068636827
"66",0.05,0.65,0.45,0.0354782899873596,0.0478418320619104,0.0443093914691816
"67",0.05,0.65,0.55,0.0353362318644189,0.0478063776441988,0.0442434788499759
"68",0.05,0.65,0.65,0.0351944952247761,0.0477709389911906,0.0441776693436436
"69",0.05,0.65,0.75,0.0350530811192673,0.047735516157272,0.0441119632892707
"70",0.05,0.65,0.85,0.0349928323574824,0.0477001091970794,0.0440694586714802
"71",0.05,0.65,0.95,0.0386713491533584,0.0476647181655013,0.0450951841620319
"72",0.05,0.75,0.05,0.0415208837917766,0.0475932392785858,0.0458582805680689
"73",0.05,0.75,0.15,0.0377059651009717,0.047560905416118,0.044745208183219
"74",0.05,0.75,0.25,0.0355393957258354,0.0475285888190215,0.0441031050781112
"75",0.05,0.75,0.35,0.0354824978885894,0.0474962895465084,0.0440637776442458
"76",0.05,0.75,0.45,0.0354260549456468,0.0474640076580617,0.0440245925973717
