,Trained_Year,Based_On,Year,Month,Actual_value,Predicted_value,Accuracy
134,2015,Lowest OutSample Mape,2012,01-02-2012,1271.618161,1232.077058,0.968904893
135,2015,Lowest OutSample Mape,2012,01-03-2012,1454.67904,1453.922278,0.999479774
136,2015,Lowest OutSample Mape,2012,01-04-2012,1383.085355,1443.522149,0.956302918
137,2015,Lowest OutSample Mape,2012,01-05-2012,1256.578116,1288.917651,0.974263808
138,2015,Lowest OutSample Mape,2012,01-06-2012,1250.914708,1382.65118,0.894687886
139,2015,Lowest OutSample Mape,2012,01-07-2012,1424.697673,1192.764664,0.837205455
140,2015,Lowest OutSample Mape,2012,01-08-2012,1209.697283,1207.976049,0.998577137
141,2015,Lowest OutSample Mape,2012,01-09-2012,1290.272206,1341.76843,0.960088868
142,2015,Lowest OutSample Mape,2012,01-10-2012,1461.46163,1425.930375,0.975687863
143,2015,Lowest OutSample Mape,2012,01-11-2012,1659.064149,1551.280751,0.935033616
144,2015,Lowest OutSample Mape,2012,01-12-2012,1762.816821,1865.605061,0.941690913
145,2015,Lowest OutSample Mape,2013,01-01-2013,1515.563794,1587.941294,0.952243845
146,2015,Lowest OutSample Mape,2013,01-02-2013,1442.783329,1247.931053,0.864946959
147,2015,Lowest OutSample Mape,2013,01-03-2013,1494.53245,1359.523935,0.90966505
148,2015,Lowest OutSample Mape,2013,01-04-2013,1198.571522,1344.510004,0.878239655
149,2015,Lowest OutSample Mape,2013,01-05-2013,1415.179078,1283.346936,0.906844198
150,2015,Lowest OutSample Mape,2013,01-06-2013,1170.703381,1255.076035,0.927929947
151,2015,Lowest OutSample Mape,2013,01-07-2013,1399.530637,1260.277378,0.900500028
152,2015,Lowest OutSample Mape,2013,01-08-2013,1199.030512,1202.304356,0.99726959
153,2015,Lowest OutSample Mape,2013,01-09-2013,1285.699875,1302.563654,0.98688358
154,2015,Lowest OutSample Mape,2013,01-10-2013,1574.435691,1422.985627,0.903806764
155,2015,Lowest OutSample Mape,2013,01-11-2013,1576.22275,1529.860225,0.970586311
156,2015,Lowest OutSample Mape,2013,01-12-2013,1897.742974,1819.392821,0.958714033
157,2015,Lowest OutSample Mape,2014,01-01-2014,1431.416965,1501.809589,0.950823118
158,2015,Lowest OutSample Mape,2014,01-02-2014,1295.234895,1325.773977,0.976421974
159,2015,Lowest OutSample Mape,2014,01-03-2014,1298.673707,1465.473323,0.871561567
160,2015,Lowest OutSample Mape,2014,01-04-2014,1500.886595,1376.937599,0.917416148
161,2015,Lowest OutSample Mape,2014,01-05-2014,1255.636159,1249.457094,0.995078936
162,2015,Lowest OutSample Mape,2014,01-06-2014,1248.203353,1219.777316,0.977226438
163,2015,Lowest OutSample Mape,2014,01-07-2014,1295.34551,1288.761407,0.994917107
164,2015,Lowest OutSample Mape,2014,01-08-2014,1273.485672,1207.254148,0.947991936
165,2015,Lowest OutSample Mape,2014,01-09-2014,1338.542127,1256.363731,0.938606044
