index,Metal,Title,Headline,Ref Link,Location,Date,Time,Date-Time
55,Steel,IN CASE YOU MISSED IT,5 key stories from January 13,https://metalbulletin.com/Article/3913758/steel/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-13.html,New York,2020-01-14,00:05,2020-01-14 00:05:00
56,Steel,US SBQ prices up on ferrous scrap gains; 2020 starts slow,US SBQ prices up on ferrous scrap gains; 2020 starts slow,https://metalbulletin.com/Article/3913760/steel/US-SBQ-prices-up-on-ferrous-scrap-gains-2020-starts-slow.html,New York,2020-01-13,23:24,2020-01-13 23:24:00
57,Steel,US HRC price climbs; mills less flexible on deals,US HRC price climbs; mills less flexible on deals,https://metalbulletin.com/Article/3913764/steel/US-HRC-price-climbs-mills-less-flexible-on-deals.html,New York,2020-01-13,23:21,2020-01-13 23:21:00
58,Steel,US plate mills find price hikes slow-going,US plate mills find price hikes slow-going,https://metalbulletin.com/Article/3913762/steel/US-plate-mills-find-price-hikes-slow-going.html,New York,2020-01-13,20:51,2020-01-13 20:51:00
59,Steel,2020 PREVIEW,Five things the CIS pig iron export market will face in 2020,https://metalbulletin.com/Article/3913578/steel/2020-PREVIEW-Five-things-the-CIS-pig-iron-export-market-will-face-in-2020.html,Dnepr,2020-01-13,19:55,2020-01-13 19:55:00
60,Steel,FASTMARKETS CUTS COUNTER,"Ores and alloys, January 2020",https://metalbulletin.com/Article/3912559/steel/FASTMARKETS-CUTS-COUNTER-Ores-and-alloys-January-2020.html,London,2020-01-13,17:31,2020-01-13 17:31:00
61,Steel,EUROPE HRC,Northern European producers increase offer prices,https://metalbulletin.com/Article/3913730/steel/EUROPE-HRC-Northern-European-producers-increase-offer-prices.html,Dnepr,2020-01-13,16:39,2020-01-13 16:39:00
62,Steel,DAILY SCRAP REPORT,"Mills remain silent in deep-sea market on weak rebar demand, tight scrap supply",https://metalbulletin.com/Article/3913667/steel/DAILY-SCRAP-REPORT-Mills-remain-silent-in-deep-sea-market-on-weak-rebar-demand-tight-scrap-supply.html,Mugla,2020-01-13,16:24,2020-01-13 16:24:00
63,Steel,Manganese alloys prices up but rally seen limited,Manganese alloys prices up but rally seen limited,https://metalbulletin.com/Article/3913666/steel/Manganese-alloys-prices-up-but-rally-seen-limited.html,Galway,2020-01-13,15:50,2020-01-13 15:50:00
64,Steel,"Ukraine’s DMKD restarts No12 blast furnace, increases pig iron output","Ukraine’s DMKD restarts No12 blast furnace, increases pig iron output",https://metalbulletin.com/Article/3913648/steel/Ukraines-DMKD-restarts-No12-blast-furnace-increases-pig-iron-output.html,Dnepr,2020-01-13,15:45,2020-01-13 15:45:00
65,Steel,China's Shagang cuts long steel prices for mid-January,China's Shagang cuts long steel prices for mid-January,https://metalbulletin.com/Article/3913557/steel/Chinas-Shagang-cuts-long-steel-prices-for-mid-January.html,Shanghai,2020-01-13,02:45,2020-01-13 02:45:00
66,Steel,IN CASE YOU MISSED IT,5 key stories from January 10,https://metalbulletin.com/Article/3913546/steel/IN-CASE-YOU-MISSED-IT-5-key-stories-from-January-10.html,New York,2020-01-13,00:05,2020-01-13 00:05:00
67,Steel,South America flat-steel import prices mostly increase on persistent global uptrend,South America flat-steel import prices mostly increase on persistent global uptrend,https://metalbulletin.com/Article/3913535/steel/South-America-flat-steel-import-prices-mostly-increase-on-persistent-global-uptrend.html,São Paulo,2020-01-10,23:41,2020-10-01 23:41:00
68,Steel,US HRC index still above $30/cwt; staying power hazy,US HRC index still above $30/cwt; staying power hazy,https://metalbulletin.com/Article/3913551/steel/US-HRC-index-still-above-30cwt-staying-power-hazy.html,New York,2020-01-10,23:32,2020-10-01 23:32:00
69,Steel,February scrap price direction up for debate,February scrap price direction up for debate,https://metalbulletin.com/Article/3913548/steel/February-scrap-price-direction-up-for-debate.html,New York,2020-01-10,21:04,2020-10-01 21:04:00
70,Steel,"US galv, CRC prices flat pending new mill hike","US galv, CRC prices flat pending new mill hike",https://metalbulletin.com/Article/3913540/steel/US-galv-CRC-prices-flat-pending-new-mill-hike.html,New York,2020-01-10,20:54,2020-10-01 20:54:00
71,Steel,HSS price flat; market sentiment murky,HSS price flat; market sentiment murky,https://metalbulletin.com/Article/3913541/steel/HSS-price-flat-market-sentiment-murky.html,New York,2020-01-10,20:49,2020-10-01 20:49:00
72,Steel,Brazilian slab export prices up on revived demand,Brazilian slab export prices up on revived demand,https://metalbulletin.com/Article/3913530/steel/Brazilian-slab-export-prices-up-on-revived-demand.html,São Paulo,2020-01-10,19:22,2020-10-01 19:22:00
73,Steel,ArcelorMittal imposes sudden sharp rise in HRC offers across Europe,ArcelorMittal imposes sudden sharp rise in HRC offers across Europe,https://metalbulletin.com/Article/3913529/steel/ArcelorMittal-imposes-sudden-sharp-rise-in-HRC-offers-across-Europe.html,Dnepr,2020-01-10,19:05,2020-10-01 19:05:00
74,Steel,CIS STEEL BILLET,"Trading activity thaws, but market lacks clarity",https://metalbulletin.com/Article/3913526/steel/CIS-STEEL-BILLET-Trading-activity-thaws-but-market-lacks-clarity.html,Dnepr,2020-01-10,18:14,2020-10-01 18:14:00
75,Steel,UK SCRAP,Light iron market stable ahead of January monthlies,https://metalbulletin.com/Article/3913507/steel/UK-SCRAP-Light-iron-market-stable-ahead-of-January-monthlies.html,Galway,2020-01-10,17:17,2020-10-01 17:17:00
76,Steel,INDIA IMPORT SCRAP,Positive sentiment pushes up trading activity and prices,https://metalbulletin.com/Article/3913467/steel/INDIA-IMPORT-SCRAP-Positive-sentiment-pushes-up-trading-activity-and-prices.html,London,2020-01-10,16:57,2020-10-01 16:57:00
