Month,Beer price,Beer production,Nominal Cider/Perry Price,Unemployment Female %,Unemployment Male %,Employment rate,Employment Male %,Employment Female %,Employment to population ratio 15+ (ILOpct)/(NBSpct),Money Supply,Currency in Circulation,Customs and import tax,Taxes on goods and services,"Total Excise (Beer, Tobacco, etc.)",Wine Equalistaion Tax,Global events,Festivals,Holiday flags,No. of festive days in the month,No.of working days,Number of Tourists 1wk<,Number of Tourists 1-2 wks,Number of Tourists 2wks-1mth,Number of Tourists 1-2mths,Number of Tourists 2-3mths,Number of Tourists 3-6mths,Number of Tourists 6-12mths
11-01-2009,4.484776,1770.121471,6.121507,0.050080105,0.053521945,0.615147094,0.678000779,0.554019637,0.652662246,95.91753,49285.32997,608.213,4603.496,2532.203,64.931,0,1,1,0,21,86800,158500,128000,69700,40300,26500,10000
12-01-2009,4.498142,2142.850474,6.238989,0.052749281,0.053641218,0.624679365,0.690457802,0.560716115,0.652790781,95.68305,51586.37699,563.981,2859.37,2379.095,70.326,0,1,1,4,19,59500,167100,258400,180800,35000,18600,10900
01-01-2010,4.43037,1578.423817,6.075831,0.057206804,0.056931394,0.612263603,0.680644339,0.54577084,0.652732522,95.64667,49040.42522,443.511,2678.677,1715.94,76.372,1,1,1,2,19,57100,173400,156400,55600,15800,15000,20600
02-01-2010,4.666142,1282.251782,6.34589,0.060588951,0.058841783,0.6157344,0.683362649,0.549974181,0.652473494,96.2935,48527.06065,363.408,4419.747,1769.653,65.575,0,0,0,0,20,69300,133600,126700,48300,12700,12700,13000
03-01-2010,4.578368,1565.996896,6.250334,0.05707179,0.057827852,0.616966315,0.682548859,0.553196136,0.652103172,97.31631,49784.32849,434.735,4633.077,2272.197,49.348,1,0,0,1,22,85200,176100,173100,71900,17400,20500,13700
04-01-2010,4.58458,1406.814602,6.414499,0.056950428,0.054279593,0.616914647,0.684433337,0.551261371,0.651806775,98.08847,48653.06501,380.424,4817.297,1873.631,59.356,0,1,1,3,19,87000,178500,149100,68000,19300,20200,14200
05-01-2010,4.55781,1371.829516,6.428901,0.052270075,0.05231215,0.617209546,0.682929112,0.553305028,0.651761141,98.517,48540.97634,444.989,4252.058,2296.119,70.554,0,0,0,0,21,81600,143900,156000,98400,29400,32000,14200
06-01-2010,4.460244,1466.819963,6.388694,0.050809664,0.049455044,0.619444728,0.685477487,0.55523518,0.652150274,99.25277,48759.21871,476.594,3029.889,1956.329,66.906,0,0,0,1,21,81800,175800,209500,139700,38500,30800,10000
07-01-2010,4.436234,1230.075862,6.476171,0.051224838,0.047701362,0.619904834,0.687093492,0.554577178,0.652941574,100.2271,49192.48787,456.306,4931.634,1985.847,54.315,0,0,0,0,22,76600,202600,173800,96800,29100,23800,13200
08-01-2010,4.669136,1316.638416,6.755198,0.052059932,0.045513568,0.615991239,0.68287103,0.550968846,0.654006365,101.1165,49385.71849,472.144,3601.739,2282.951,62.731,0,0,0,0,22,86200,176500,156500,101100,28100,20200,13400
09-01-2010,4.489469,1461.90817,6.811495,0.052023225,0.049010725,0.625666138,0.692296353,0.560892089,0.655106554,101.7431,49880.60345,465.269,2542.977,1890.356,73.701,0,0,0,0,22,87500,226800,247200,112200,22300,18600,10700
10-01-2010,4.563701,1415.710175,6.923185,0.052513997,0.048507257,0.623228401,0.690425973,0.557909309,0.656054351,102.5597,49784.37021,480.38,5508.466,1962.088,11.734,0,0,0,1,20,96500,210000,165200,59400,17500,19400,9200
11-01-2010,4.530459,1565.999475,6.965405,0.051592023,0.0444402,0.623367383,0.690455216,0.55816142,0.656659177,104.0515,50031.42887,600.412,4348.65,2450.523,78.171,0,1,0,0,22,97300,172700,131300,71900,42300,26000,9900
12-01-2010,4.602191,1872.276643,6.885363,0.050962421,0.044353984,0.631039259,0.699940369,0.564077479,0.656794955,105.1875,53081.88481,535.91,2859.192,2490.934,68.672,0,1,1,4,19,66000,189700,290900,194500,38500,15900,10400
01-01-2011,4.508471,1700.400237,6.934468,0.057270803,0.051228697,0.617174836,0.687910556,0.548436384,0.656476973,105.8181,50243.16282,490.593,2434.873,2548.276,82.007,1,1,1,2,19,61500,188500,182800,66800,16100,18700,19500
02-01-2011,4.637999,1277.937634,6.948747,0.059688218,0.053145365,0.620832546,0.689609858,0.554003488,0.655750559,106.7035,49754.54477,422.059,6492.097,1868.414,75.034,0,0,0,0,20,82100,150300,133200,49000,13300,15200,11500
03-01-2011,4.629626,1484.16489,7.158458,0.057675053,0.047807541,0.623829539,0.690707299,0.558852114,0.654822249,107.5727,49756.65951,450.447,2902.921,1968.99,43.656,1,0,0,1,22,100700,170700,144400,67900,16500,17100,14700
04-01-2011,4.58491,1577.484479,7.172757,0.051774625,0.048430188,0.621386112,0.687169289,0.557465908,0.654018805,108.2397,51825.44683,473.926,5192.153,2044.516,58.528,0,1,1,3,18,94400,239300,214300,89600,21300,20500,13000
05-01-2011,4.603132,1256.881635,7.3515,0.053411175,0.047216261,0.621173546,0.686820142,0.557379695,0.653556151,108.741,49792.5872,501.335,4859.838,2288.691,76.545,0,0,0,0,22,90700,173700,170100,107000,32400,31100,13800
06-01-2011,4.578775,1365.863201,7.430243,0.050347613,0.045785673,0.621817148,0.685627342,0.559801759,0.653502938,108.8583,50059.35226,479.219,2418.46,2021.414,61.906,0,0,0,1,21,88800,191000,219000,150300,38000,30700,8800
07-01-2011,4.486628,1194.73614,7.43595,0.049621006,0.046121392,0.621335311,0.686323105,0.558184356,0.65369914,109.1898,50328.48045,512.616,5184.452,1957.022,56.618,0,0,0,0,21,87200,234000,195200,101400,31400,23400,11500
08-01-2011,4.61073,1408.328134,7.69277,0.051282222,0.05058775,0.615123867,0.678351512,0.553687098,0.653956878,110.4349,51098.15152,540.591,4067.067,2318.447,54.302,0,0,0,0,23,93000,197100,181000,112400,27800,24100,12800
09-01-2011,4.573617,1329.566484,7.580083,0.052649426,0.051373635,0.624786418,0.687163406,0.564180038,0.653974356,111.6114,51682.71719,519.336,1805.475,1947.871,49.54,0,0,0,0,22,110200,249500,256500,123800,21600,19400,9000
10-01-2011,4.687511,1471.344872,7.667015,0.048727296,0.050379535,0.621330575,0.684232524,0.560216135,0.653711297,112.2744,52178.02695,607.666,6122.976,2327.645,45.286,0,0,0,1,20,110900,230600,174200,64700,17600,21400,9100
11-01-2011,4.729692,1591.192481,7.900815,0.049982524,0.048013648,0.618628052,0.682154852,0.556908228,0.653148718,112.8727,52508.8006,653.589,4685.367,2246.695,65.583,0,1,0,0,22,109700,188500,144200,74200,44700,25900,8300
12-01-2011,4.750773,1946.487392,7.966524,0.054096169,0.047164596,0.624051385,0.690546882,0.559449523,0.652542504,113.5478,55816.5095,698.452,2876.712,2337.672,63.507,0,1,1,4,18,73100,204600,303800,210500,44100,17300,10100
01-01-2012,4.712773,1579.553659,7.784708,0.056022965,0.053053705,0.612218232,0.67974716,0.54660745,0.652112543,114.32,53383.59994,689.212,2136.954,2511.512,82.714,1,1,1,2,20,67200,189400,190100,76100,17200,19000,20600
02-01-2012,4.929352,1271.618161,7.987404,0.06138033,0.056224644,0.615359205,0.680550771,0.55201452,0.651924121,114.9668,52364.26494,507.78,7299.916,1810.202,84.996,0,0,0,0,21,94200,168900,139800,52500,14200,14800,11700
03-01-2012,4.886318,1454.67904,7.91242,0.057531649,0.052832242,0.619545439,0.681573533,0.559270223,0.651822388,115.646,53261.63113,539.88,2444.891,1919.206,28.787,1,0,0,1,21,111600,201100,184100,82900,18800,18000,13000
04-01-2012,4.876486,1383.085355,7.907346,0.052353667,0.048416852,0.618502851,0.682746542,0.556064434,0.651676957,116.2564,53368.74854,612.8,5282.856,2388.369,79.64,0,1,1,3,18,99500,224000,190200,90300,22900,23100,14000
05-01-2012,4.899366,1256.578116,7.916651,0.054867105,0.048926908,0.620977316,0.683569881,0.560133868,0.65149078,117.1095,53075.6417,591.976,4917.099,1940.036,62.599,0,0,0,0,23,98900,181000,182500,113300,32500,33500,12400
06-01-2012,4.85397,1250.914708,8.017071,0.053357196,0.047346262,0.618068474,0.681350271,0.556544977,0.651285452,118.2616,53594.96399,630.102,2025.235,1776.323,42.428,0,0,0,1,20,93800,213600,255800,154900,38800,31300,11600
07-01-2012,4.85724,1424.697673,7.907315,0.049173797,0.048442195,0.617842144,0.680475971,0.55694288,0.651058285,119.0095,53791.97029,697.753,5126.414,2478.859,47.806,0,0,0,0,22,92800,235000,188400,102900,31600,25700,12400
08-01-2012,4.957084,1209.697283,8.252458,0.048481998,0.050895617,0.611272932,0.672625512,0.551613902,0.650865415,119.6725,54335.39407,630.949,3723.979,1851.952,47.687,0,0,0,0,23,103300,201100,182400,111300,29500,23300,15400
09-01-2012,4.90497,1290.272206,7.905922,0.05201869,0.05665281,0.620836043,0.679764168,0.563529055,0.650758592,120.287,55064.40813,598.26,3075.57,1985.962,46.219,0,0,0,0,20,106400,263200,286200,132100,26500,20200,8900
10-01-2012,5.020857,1461.46163,8.2163,0.052262651,0.051438075,0.61719179,0.679806016,0.556302678,0.650774166,120.7762,55349.74819,749.774,5962.887,2566.727,44.186,0,0,0,1,22,110000,233500,182500,68800,20500,18600,7700
11-01-2012,5.042775,1659.064149,8.031177,0.048477421,0.049829585,0.614827036,0.675776209,0.555559588,0.650874056,121.2896,56541.02445,843.64,4701.555,2060.273,70.491,0,1,0,0,22,118500,197400,156100,86500,45300,27600,9600
12-01-2012,5.080619,1762.816821,8.091842,0.052736837,0.052157824,0.621680987,0.68576817,0.559364679,0.651015452,121.8718,58981.69556,762.618,3082.165,2389.045,86.898,0,1,1,4,17,73900,208700,327300,225500,43200,19400,9800
01-01-2013,5.023071,1515.563794,8.060044,0.057178514,0.058669921,0.609052788,0.672664171,0.547205711,0.651115868,122.5833,56585.46109,736.944,1600.49,2131.97,71.356,1,1,1,2,21,77400,207700,188000,75100,19000,19300,19400
02-01-2013,5.140272,1442.783329,8.224159,0.061993896,0.059899833,0.61446577,0.676630163,0.554032138,0.651172274,123.0199,56160.54127,580.043,7245.369,1859.63,70.543,0,0,0,0,20,87500,168200,145800,58100,13800,14300,12800
03-01-2013,5.077154,1494.53245,8.235118,0.059940319,0.059386011,0.614076395,0.674563162,0.555279933,0.651125836,123.598,57275.21901,617.293,3018.143,1874.085,48.71,1,1,1,1,20,121600,223900,203400,84700,17600,18900,12300
04-01-2013,5.018964,1198.571522,8.276952,0.057343191,0.055022502,0.615639256,0.676081675,0.556882883,0.650875781,124.5521,56540.13176,593.493,5797.923,2342.749,89.426,0,0,0,3,19,107700,226600,202600,95900,22900,22300,18100
05-01-2013,4.97315,1415.179078,8.02278,0.056133873,0.055097999,0.615376794,0.677183819,0.555291148,0.650384177,125.5426,56628.73048,706.331,4748.945,2099.006,44.839,0,0,0,0,23,106200,201900,198300,127300,32900,31900,12100
06-01-2013,4.997081,1170.703381,8.130215,0.05478507,0.055720352,0.614609136,0.675689992,0.55522641,0.649801572,126.3188,56943.38072,654.902,2229.56,2068.742,47.839,0,0,0,1,19,100500,220900,273200,171700,37000,29700,11100
07-01-2013,4.868937,1399.530637,7.809191,0.052293176,0.054140751,0.613128129,0.674485984,0.553487188,0.649192633,126.6947,57691.19359,725.929,5150.699,2398.975,63.368,0,0,0,0,23,98300,247400,210700,124500,35500,24300,12800
08-01-2013,5.06589,1199.030512,8.098211,0.055569968,0.057212104,0.605982755,0.665523429,0.548119041,0.648490779,126.8645,58282.01999,729.108,4897.964,1951.228,51.49,0,0,0,0,22,110100,215000,204200,131700,30500,25300,12700
09-01-2013,5.039227,1285.699875,8.138353,0.056067334,0.057062183,0.6146133,0.673404219,0.55748884,0.647644059,127.3173,58625.33536,734.725,1841.434,2491.622,50.75,0,0,0,0,21,116800,280200,296000,148100,23500,18700,9600
10-01-2013,5.108886,1574.435691,8.35214,0.053494906,0.057873018,0.610970657,0.669938298,0.553698028,0.646778789,128.2188,59097.3521,823.741,6519.266,1921.289,51.671,0,0,0,1,22,124500,236100,192100,78100,19900,19800,8700
11-01-2013,5.108555,1576.22275,8.104479,0.052373957,0.055876651,0.608389831,0.667272504,0.551223038,0.646106023,129.1325,59292.47747,796.518,5330.105,2204.139,88.048,0,1,0,0,21,121200,217900,164200,99300,45300,25500,9700
12-01-2013,5.137767,1897.742974,7.737413,0.054909776,0.058309224,0.612618607,0.672794916,0.554219758,0.645689507,130.1513,63018.06969,834.02,3061.992,2574.626,81.403,0,1,1,4,18,87500,229300,362200,238100,43600,19100,10900
01-01-2014,5.13926,1431.416965,7.909753,0.064115434,0.06346941,0.600218464,0.661534,0.540706989,0.645532058,131.0204,60638.51291,843.145,2884.92,1730.105,88.865,1,1,1,2,21,86400,220900,215500,84700,20000,18100,19800
02-01-2014,5.188815,1295.234895,8.032137,0.07236307,0.064340266,0.606661617,0.669162079,0.545993168,0.645607768,131.6592,60168.12208,730.914,7372.303,1852.129,80.976,0,0,0,0,20,108100,176900,152300,56500,14600,15000,12400
03-01-2014,5.218802,1298.673707,7.704807,0.066427572,0.058834734,0.609397234,0.669528054,0.551022113,0.645889871,132.302,60263.17252,620.104,3232.048,2395.84,60.686,1,0,0,1,20,121200,210000,175900,78500,20400,18000,12100
04-01-2014,5.181195,1500.886595,7.428785,0.059375053,0.05717954,0.609793611,0.670249992,0.551106925,0.646244721,133.0742,61487.31347,726.665,5929.157,1965.979,65.046,0,1,1,3,19,112200,281700,251200,102800,23900,21100,14600
05-01-2014,5.22793,1255.636159,7.259985,0.060700112,0.056558517,0.609140117,0.668008785,0.551999131,0.646548727,133.8786,60666.58389,902.448,5213.348,1951.169,79.739,0,0,0,0,22,116700,212100,200700,127700,29300,31300,12800
06-01-2014,5.172277,1248.203353,7.598876,0.058733214,0.058831823,0.608558245,0.66679758,0.552032396,0.646693192,134.7883,60777.50076,814.683,4283.764,2209.899,63.958,0,0,0,1,20,106500,235700,274900,175300,40700,30600,10600
07-01-2014,5.237213,1295.34551,7.208424,0.0594251,0.061105381,0.607152008,0.665634299,0.550398619,0.646666618,135.7666,61336.35923,828.279,5919.544,1989.049,56.482,0,0,0,0,23,107300,246400,224800,135400,35500,24900,13100
08-01-2014,5.329849,1273.485672,7.504777,0.059270297,0.059898054,0.608059599,0.664984483,0.552825367,0.646486913,136.6681,61660.51029,773.501,4512.836,1930.917,64.065,0,0,0,0,21,119400,222000,213000,140100,32200,25200,14900
09-01-2014,5.276718,1338.542127,7.239272,0.061103635,0.060496775,0.605233323,0.663063815,0.549128457,0.646216213,137.6101,62152.31457,688.383,2783.145,2169.768,54.713,0,0,0,0,22,123600,281000,299600,142400,24900,20000,8600
10-01-2014,5.21478,1439.808765,7.353648,0.061415481,0.060718063,0.605406959,0.663913708,0.548654924,0.646004553,138.3539,62955.56593,692.966,6258.493,1780.174,51.272,0,0,0,1,22,131100,252500,203100,75900,18600,17200,8700
11-01-2014,5.24958,1584.612492,7.175678,0.057489139,0.059852726,0.606351861,0.666421787,0.548092808,0.645993383,138.831,63335.28565,949.25,5792.75,1920.497,82.26,0,1,0,0,20,129100,220400,171500,95000,44100,27200,9600
12-01-2014,5.234837,1810.307154,7.06612,0.059497915,0.058219007,0.612576979,0.672188091,0.554771896,0.646258529,139.5789,66854.28817,1099.44,2995.071,2498.425,73.005,0,1,1,4,19,88500,238800,383500,242600,41300,19000,11100
01-01-2015,5.311258,1662.501069,7.039464,0.066904659,0.068980914,0.598692452,0.659313575,0.539913953,0.646681452,140.3066,64652.78822,928.528,2882.493,1689.255,85.365,1,1,1,2,20,91300,242700,223500,77900,20200,21400,19300
02-01-2015,5.338695,1055.452127,7.41193,0.067879861,0.065634858,0.611160201,0.671697226,0.552469326,0.647116037,141.2485,64546.20159,792.49,5968.887,1895.574,87.73,0,0,0,0,20,102400,186900,168600,59000,14100,14900,11200
03-01-2015,5.264642,1572.300884,7.025076,0.066270861,0.063365081,0.608905929,0.669722388,0.549950169,0.647509634,142.3118,66097.07307,947.479,5111.984,2234.198,61.91,1,0,0,1,21,125800,228300,220700,91400,22100,20000,14900
04-01-2015,5.257238,1261.277434,7.206573,0.062320357,0.06054066,0.608869373,0.668507003,0.551063443,0.647866674,142.999,65170.01958,981.302,5891.65,1685.499,70.895,0,1,1,3,19,126200,255100,220700,97700,24700,23100,15400
05-01-2015,5.285446,1093.949577,7.294693,0.05910293,0.057862808,0.611911838,0.670349546,0.555275582,0.648199255,143.3346,65061.01569,1068.403,5444.754,1777.627,71.69,0,0,0,0,21,116700,221100,211600,122900,29900,33900,11700
06-01-2015,5.277982,1288.687455,7.251835,0.058454116,0.058599337,0.609802277,0.666976935,0.55439693,0.648613679,143.8803,65481.41358,1133.979,2900.393,2116.017,68.613,0,0,0,1,21,115900,248000,291000,172200,35300,27100,9800
07-01-2015,5.336405,1421.229635,7.19883,0.063145099,0.060220501,0.609465413,0.667005872,0.553705318,0.649147751,145.0163,66759.42528,1137.387,5990.16,1717.174,68.998,0,0,0,0,23,104200,251700,236200,148000,40600,27500,14600
08-01-2015,5.45988,1318.693795,7.301922,0.059720753,0.06235543,0.605673052,0.661172107,0.551890804,0.649791483,145.6591,67129.79413,464.393,4442.22,2202.792,51.549,0,0,0,0,21,117600,226900,222800,138300,29800,22200,14300
09-01-2015,5.44094,1331.707548,7.305662,0.058429576,0.061754191,0.608489394,0.66407303,0.55462495,0.650413991,146.1847,68055.99959,688.383,2783.145,2169.768,54.713,0,0,0,0,22,122500,298700,314000,142700,24800,19500,10800
10-01-2015,5.450193,1485.756646,7.227511,0.055880702,0.057795969,0.612641329,0.668259889,0.558747294,0.650841876,146.9124,68409.91013,1816.645,7253.778,1214.704,71.68,0,0,0,1,21,136500,270100,217200,82200,19500,19100,9000
11-01-2015,5.380057,1571.134384,7.33812,0.055036813,0.054366484,0.6155553,0.66927007,0.563510101,0.650972551,147.729,69018.12488,1134.293,6184.472,1940.779,80.207,0,1,0,0,21,126600,226600,178700,93100,43700,25100,9400
12-01-2015,5.331635,1965.386745,7.08961,0.055626745,0.055149932,0.619432695,0.674982916,0.565613434,0.650784581,148.3071,71923.85807,1577.379,3100.665,1773.823,95.118,0,1,1,4,19,92400,252000,412600,260700,41600,17500,10700
01-01-2016,5.418089,1468.391614,7.034907,0.064063092,0.06565087,0.604783588,0.662739355,0.54863513,0.6503188,148.861,69985.5619,1068.625,3115.286,1553.246,101.445,1,1,1,2,19,92800,261300,239400,90700,21200,21200,21600
02-01-2016,5.514639,1202.601797,7.178149,0.064252819,0.059696181,0.614743935,0.670953147,0.56028898,0.649715942,149.5846,69591.43857,1246.348,8497.372,1959.563,86.001,0,0,0,0,21,111000,200200,168600,58800,15100,15800,12400
03-01-2016,5.401196,1493.370473,7.095497,0.061356392,0.058951655,0.61224395,0.667980494,0.558248218,0.649154244,150.5023,70406.92106,952.386,3230.71,1706.278,50.946,1,1,1,1,22,141600,256200,227100,93000,20100,20700,14700
04-01-2016,5.43123,1276.321496,7.208191,0.058777128,0.055087747,0.612635694,0.667302995,0.559677729,0.648776452,151.3432,69947.14941,987.906,6591.733,1625.351,67.73,0,0,0,3,18,128700,265700,241200,97600,22200,21100,14800
05-01-2016,5.402428,1217.321543,7.286307,0.057776114,0.055222543,0.613591354,0.668684896,0.560222557,0.64846005,151.606,69907.35311,1393.021,5532.725,2006.499,76.019,0,0,0,0,22,123600,232600,220800,115400,28900,29800,13500
06-01-2016,5.409429,1182.128779,7.065513,0.058612851,0.052964029,0.61243621,0.666505156,0.560061909,0.648008813,152.2892,70208.75743,1579.234,3589.734,1755.023,78.594,0,0,0,1,21,121400,264200,316200,173300,39300,27300,11100
07-01-2016,5.452874,1395.204644,7.037631,0.056785546,0.0552095,0.611643325,0.66613633,0.558861628,0.647381135,153.4778,70620.47086,977.964,5794.85,1595.605,66.597,0,0,0,0,21,114500,281800,271000,143600,37700,28200,13800
08-01-2016,5.539467,1231.507862,7.182502,0.056069573,0.056449787,0.606007496,0.660269842,0.553452772,0.646672118,154.3833,70869.85116,1557.614,5782.142,2013.296,56.936,0,0,0,0,23,125400,241600,232600,140700,30100,23300,14700
09-01-2016,5.491713,1377.947097,6.963648,0.054389499,0.055971888,0.607187509,0.659875366,0.556161009,0.645971378,154.7229,71929.35154,674.194,2904.074,1631.487,58.249,0,0,0,0,22,133500,318700,330900,138500,22500,21500,9600
10-01-2016,5.519476,1439.062829,6.771505,0.053226094,0.053830513,0.60860196,0.662694568,0.556217934,0.645537691,155.4385,72084.47758,821.228,6540.934,2051.612,57.218,0,0,0,1,20,139100,273100,236600,80500,21200,18500,10500
11-01-2016,5.516559,1594.208192,6.814029,0.053814301,0.053867363,0.611192229,0.664014265,0.560041463,0.64548248,156.7523,72959.36675,1009.132,6385.854,1809.081,75.219,0,1,0,0,22,130600,237600,191000,97400,42900,26500,8400
12-01-2016,5.423448,1935.742292,6.792265,0.055449072,0.057085828,0.615027487,0.669171402,0.562599531,0.645737996,157.8358,75839.55096,1579.527,3403.389,1871.976,92.844,0,1,1,4,18,97000,278600,427000,258400,42300,16900,7700
